TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
12355,Lophostemon confertus :: Brisbane Box,1275X Ellis St,Sidewalk: Curb side : Cutout,6,3X3,37.78297771,-122.4270979
13818,Platanus x hispanica :: Sycamore: London Plane,955 Market St,Sidewalk: Curb side : Cutout,50,4X4,37.7829698,-122.4091583
5823,Platanus x hispanica :: Sycamore: London Plane,800X Eddy St,Sidewalk: Curb side : Cutout,6,4X4,37.78295564,-122.42088
12359,Tristania conferta ::,1295X Ellis St,Sidewalk: Curb side : Cutout,24,4X6,37.7829527,-122.4272677
8607,Tristaniopsis laurina :: Swamp Myrtle,2428 Geary Blvd,Sidewalk: Curb side : Cutout,3,3x3,37.78295263,-122.4433812
6258,Lophostemon confertus :: Brisbane Box,1338X Ellis St,Sidewalk: Curb side : Cutout,3,3X3,37.7829361,-122.4285148
16758,Corymbia ficifolia :: Red Flowering Gum,1900X O'Farrell St,Sidewalk: Curb side : Cutout,18,4X4,37.78292131,-122.4360609
29138,Lophostemon confertus :: Brisbane Box,190X Jones St,Sidewalk: Curb side : Cutout,3,3x3,37.78291541,-122.4123059
13832,Platanus x hispanica :: Sycamore: London Plane,970 Market St,Sidewalk: Curb side : Cutout,40,4x4,37.78289966,-122.4096055
13836,Platanus x hispanica :: Sycamore: London Plane,972 Market St,Sidewalk: Curb side : Cutout,25,4X4,37.78287979,-122.4096669
23267,Corymbia ficifolia :: Red Flowering Gum,800X Van Ness Ave,Median : Cutout,18,3X3,37.78287738,-122.4207311
5845,Pittosporum undulatum :: Victorian Box,909X Franklin St,Sidewalk: Curb side : Cutout,6,4X4,37.78286289,-122.4225831
8611,Tristaniopsis laurina :: Swamp Myrtle,2486 Geary Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.78285912,-122.4441598
5834,Platanus x hispanica :: Sycamore: London Plane,850X Eddy St,Sidewalk: Curb side : Cutout,12,3x3,37.78285814,-122.4215368
6251,Acacia melanoxylon :: Blackwood Acacia,1315 Ellis St,Sidewalk: Curb side : Cutout,24,3X3,37.78285324,-122.4281761
8587,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,2355X Geary Blvd,Sidewalk: Curb side : Cutout,6,3X3,37.78285165,-122.4419875
93633,Pittosporum undulatum :: Victorian Box,151X Palm Ave,Sidewalk: Curb side : Cutout,3,3x3,37.78284589,-122.4579403
13839,Platanus x hispanica :: Sycamore: London Plane,974 Market St,Sidewalk: Curb side : Cutout,50,4x4,37.78283737,-122.4097206
5838,Maytenus boaria :: Mayten,860 Eddy St,Sidewalk: Curb side : Cutout,6,3X3,37.78283402,-122.421837
19553,Metrosideros excelsa :: New Zealand Xmas Tree,399X Saint Joseph's Ave,Sidewalk: Curb side : Cutout,3,3X3,37.7828307,-122.4428615
142132,Cupressus macrocarpa :: Monterey Cypress,2400x GEARY BLVD,Median : Cutout,46,Width 0ft,37.78283063,-122.4432188
5840,Platanus x hispanica :: Sycamore: London Plane,870X Eddy St,Sidewalk: Curb side : Cutout,12,3X3,37.78281554,-122.4219853
5826,Platanus x hispanica :: Sycamore: London Plane,805X Eddy St,Sidewalk: Curb side : Cutout,12,4X4,37.782812,-122.4209162
1526,Ulmus pumila :: Siberian Elm,440 Arguello Blvd,Sidewalk: Curb side : Cutout,100,3x3,37.78280238,-122.4588824
6237,Platanus x hispanica :: Sycamore: London Plane,1265 Ellis St,Sidewalk: Curb side : Cutout,12,3X3,37.78279323,-122.4266965
13828,Platanus x hispanica :: Sycamore: London Plane,965 Market St,Sidewalk: Curb side : Cutout,50,4X4,37.78278927,-122.4093875
8638,Myoporum laetum :: Myoporum,2600X Geary Blvd,Sidewalk: Curb side : Cutout,26,0,37.78277966,-122.4460274
13841,Platanus x hispanica :: Sycamore: London Plane,974 Market St,Sidewalk: Curb side : Cutout,45,4x4,37.78277345,-122.4097656
7839,Tristaniopsis laurina :: Swamp Myrtle,825X Eddy St,Sidewalk: Curb side : Cutout,3,4X4,37.78277197,-122.421232
6264,Acacia melanoxylon :: Blackwood Acacia,1350X Ellis St,Sidewalk: Curb side : Cutout,18,4X4,37.78277033,-122.4298465
6266,Acacia melanoxylon :: Blackwood Acacia,1355 Ellis St,Sidewalk: Curb side : Cutout,45,3X3,37.78273614,-122.4287655
28639,Platanus x hispanica :: Sycamore: London Plane,1300 Webster St,Median : Cutout,30,20,37.78273123,-122.4308292
13842,Platanus x hispanica :: Sycamore: London Plane,980X Market St,Sidewalk: Curb side : Cutout,40,4x4,37.78271111,-122.4098805
13845,Platanus x hispanica :: Sycamore: London Plane,988 Market St,Sidewalk: Curb side : Cutout,40,4x4,37.78270906,-122.4099478
5832,Platanus x hispanica :: Sycamore: London Plane,819 Eddy St,Sidewalk: Curb side : Cutout,18,4x4,37.78270353,-122.4217712
23258,Lophostemon confertus :: Brisbane Box,790X Van Ness Ave,Sidewalk: Curb side : Cutout,6,4X4,37.78269538,-122.4203397
6285,Ficus nitida :: Laurel Fig,1480 Ellis St,Sidewalk: Curb side : Cutout,6,4x4,37.78269264,-122.4302962
13834,Platanus x hispanica :: Sycamore: London Plane,969 Market St,Sidewalk: Curb side : Cutout,40,4X4,37.78269155,-122.4095429
13843,Platanus x hispanica :: Sycamore: London Plane,982X Market St,Sidewalk: Curb side : Cutout,40,4x4,37.78266869,-122.4099342
23257,Platanus x hispanica :: Sycamore: London Plane,770 Van Ness Ave,Sidewalk: Curb side : Cutout,12,4X4,37.78266031,-122.4205133
